Digestibility factors,,,,,,,,,,,,,
Dietary sources,Food group,Total Protein,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Threonine,Tryptophan,Valine
Beer,Alcohol,1,1,1,1,1,1,1,1,1,1,1,1
Wine,Alcohol,1,1,1,1,1,1,1,1,1,1,1,1
Butter,Dairy,1.02,0.97,0.92,0.96,0.96,0.97,0.86,0.97,0.97,0.89,0.94,0.93
Butter milk,Dairy,1.02,0.97,0.92,0.96,0.96,0.97,0.86,0.97,0.97,0.89,0.94,0.93
Cheese,Dairy,1.02,0.97,0.92,0.96,0.96,0.97,0.86,0.97,0.97,0.89,0.94,0.93
Cream,Dairy,1.02,0.97,0.92,0.96,0.96,0.97,0.86,0.97,0.97,0.89,0.94,0.93
Milk full,Dairy,1.02,0.99,0.95,0.99,0.96,0.99,0.99,0.99,0.99,0.96,0.97,0.97
Milk skimmed,Dairy,1.02,0.94,0.89,0.94,0.95,0.96,0.73,0.94,0.95,0.82,0.91,0.9
Yoghurt,Dairy,1.02,0.97,0.92,0.96,0.96,0.97,0.86,0.97,0.97,0.89,0.94,0.93
Egg,Egg,0.82,0.71,0.75,0.74,0.71,0.75,0.73,0.68,0.73,0.74,0.73,0.74
Cod,Fish,0.91,0.98,0.99,0.99,0.99,0.99,0.96,0.98,0.99,0.97,0.98,0.98
Fish other,Fish,0.91,0.98,0.99,0.99,0.99,0.99,0.96,0.98,0.99,0.97,0.98,0.98
Flatfish,Fish,0.91,0.98,0.99,0.99,0.99,0.99,0.96,0.98,0.99,0.97,0.98,0.98
Herring,Fish,0.91,0.98,0.99,0.99,0.99,0.99,0.96,0.98,0.99,0.97,0.98,0.98
Mackerel,Fish,0.91,0.98,0.99,0.99,0.99,0.99,0.96,0.98,0.99,0.97,0.98,0.98
Mussel,Fish,0.91,0.98,0.99,0.99,0.99,0.99,0.96,0.98,0.99,0.97,0.98,0.98
