Scenario,Country,Gender,Age,MinMax,HumNutrR,value
Circular,NL,Male,1_3_Years,Min,AAA,624
Circular,NL,Male,4_8_Years,Min,AAA,918
Circular,NL,Male,9_13_Years,Min,AAA,1555
Circular,NL,Male,14_18_Years,Min,AAA,2404
Circular,NL,Male,19_30_Years,Min,AAA,2497
Circular,NL,Male,31_50_Years,Min,AAA,2685
Circular,NL,Male,51_69_Years,Min,AAA,2747
Circular,NL,Male,70_Years,Min,AAA,2579
Circular,NL,Female,1_3_Years,Min,AAA,607
Circular,NL,Female,4_8_Years,Min,AAA,874
Circular,NL,Female,9_13_Years,Min,AAA,1537
Circular,NL,Female,14_18_Years,Min,AAA,2049
Circular,NL,Female,19_30_Years,Min,AAA,2173
Circular,NL,Female,31_50_Years,Min,AAA,2286
Circular,NL,Female,51_69_Years,Min,AAA,2315
Circular,NL,Female,70_Years,Min,AAA,2226
Circular,NL,Male,1_3_Years,Min,AAA_D,624
Circular,NL,Male,4_8_Years,Min,AAA_D,918
Circular,NL,Male,9_13_Years,Min,AAA_D,1555
Circular,NL,Male,14_18_Years,Min,AAA_D,2404
Circular,NL,Male,19_30_Years,Min,AAA_D,2497
Circular,NL,Male,31_50_Years,Min,AAA_D,2685
Circular,NL,Male,51_69_Years,Min,AAA_D,2747
Circular,NL,Male,70_Years,Min,AAA_D,2579
Circular,NL,Female,1_3_Years,Min,AAA_D,607
Circular,NL,Female,4_8_Years,Min,AAA_D,874
Circular,NL,Female,9_13_Years,Min,AAA_D,1537
Circular,NL,Female,14_18_Years,Min,AAA_D,2049
Circular,NL,Female,19_30_Years,Min,AAA_D,2173
Circular,NL,Female,31_50_Years,Min,AAA_D,2286
Circular,NL,Female,51_69_Years,Min,AAA_D,2315
Circular,NL,Female,70_Years,Min,AAA_D,2226
Circular,NL,Female,19_30_Years,Min,ALA,1
Circular,NL,Female,31_50_Years,Min,ALA,1
Circular,NL,Male,1_3_Years,Min,ALA,1
Circular,NL,Male,9_13_Years,Min,ALA,1.2
Circular,NL,Male,14_18_Years,Min,ALA,1.5
Circular,NL,Male,19_30_Years,Min,ALA,1.3
Circular,NL,Male,31_50_Years,Min,ALA,1.2
Circular,NL,Male,51_69_Years,Min,ALA,1.2
Circular,NL,Male,70_Years,Min,ALA,1.1
Circular,NL,Female,1_3_Years,Min,ALA,0.5
Circular,NL,Female,4_8_Years,Min,ALA,0.7
Circular,NL,Female,9_13_Years,Min,ALA,1.1
Circular,NL,Female,14_18_Years,Min,ALA,1.2
Circular,NL,Female,51_69_Years,Min,ALA,0.9
Circular,NL,Female,70_Years,Min,ALA,0.9
Circular,NL,Male,4_8_Years,Min,ALA,1
Circular,NL,Male,1_3_Years,Min,Ca,450
Circular,NL,Male,4_8_Years,Min,Ca,800
Circular,NL,Male,9_13_Years,Min,Ca,1010
Circular,NL,Male,14_18_Years,Min,Ca,1150
Circular,NL,Male,19_30_Years,Min,Ca,1000
Circular,NL,Male,31_50_Years,Min,Ca,950
Circular,NL,Male,51_69_Years,Min,Ca,950
Circular,NL,Male,70_Years,Min,Ca,950
Circular,NL,Female,1_3_Years,Min,Ca,450
Circular,NL,Female,4_8_Years,Min,Ca,800
Circular,NL,Female,9_13_Years,Min,Ca,1150
Circular,NL,Female,14_18_Years,Min,Ca,1150
Circular,NL,Female,19_30_Years,Min,Ca,1000
Circular,NL,Female,31_50_Years,Min,Ca,950
Circular,NL,Female,51_69_Years,Min,Ca,950
Circular,NL,Female,70_Years,Min,Ca,950
Circular,NL,Male,1_3_Years,Max,Ca,2500
Circular,NL,Female,1_3_Years,Max,Ca,2500
Circular,NL,Male,14_18_Years,Max,Ca,2500
Circular,NL,Female,14_18_Years,Max,Ca,2500
Circular,NL,Male,19_30_Years,Max,Ca,2500
Circular,NL,Female,19_30_Years,Max,Ca,2500
Circular,NL,Male,31_50_Years,Max,Ca,2500
Circular,NL,Female,31_50_Years,Max,Ca,2500
Circular,NL,Male,4_8_Years,Max,Ca,2500
Circular,NL,Female,4_8_Years,Max,Ca,2500
Circular,NL,Male,51_69_Years,Max,Ca,2500
Circular,NL,Female,51_69_Years,Max,Ca,2500
Circular,NL,Male,70_Years,Max,Ca,2500
